TERRITORIO	TIME_PERIOD	MEDIDAS	OBS_VALUE	ESTADO_OBSERVACION	CONFIDENCIALIDAD_OBSERVACION	NOTAS_OBSERVACION
Canary Islands	08/2024	Personas beneficiarias	101193			
Canary Islands	08/2024	Tasa de cobertura de la prestación de desempleo	67.2			
Canary Islands	08/2024	Paro resgistrado con experiencia laboral	150594			
Las Palmas	08/2024	Personas beneficiarias	53103			
Las Palmas	08/2024	Tasa de cobertura de la prestación de desempleo	67.7			
Las Palmas	08/2024	Paro resgistrado con experiencia laboral	78436			
Santa Cruz de Tenerife	08/2024	Personas beneficiarias	48090			
Santa Cruz de Tenerife	08/2024	Tasa de cobertura de la prestación de desempleo	66.6			
Santa Cruz de Tenerife	08/2024	Paro resgistrado con experiencia laboral	72158			
Canary Islands	07/2024	Personas beneficiarias	101112			
Canary Islands	07/2024	Tasa de cobertura de la prestación de desempleo	67			
Canary Islands	07/2024	Paro resgistrado con experiencia laboral	150941			
Las Palmas	07/2024	Personas beneficiarias	53380			
Las Palmas	07/2024	Tasa de cobertura de la prestación de desempleo	67.9			
Las Palmas	07/2024	Paro resgistrado con experiencia laboral	78638			
Santa Cruz de Tenerife	07/2024	Personas beneficiarias	47732			
Santa Cruz de Tenerife	07/2024	Tasa de cobertura de la prestación de desempleo	66			
Santa Cruz de Tenerife	07/2024	Paro resgistrado con experiencia laboral	72303			
Canary Islands	06/2024	Personas beneficiarias	94446			
Canary Islands	06/2024	Tasa de cobertura de la prestación de desempleo	62.3			
Canary Islands	06/2024	Paro resgistrado con experiencia laboral	151496			
Las Palmas	06/2024	Personas beneficiarias	49557			
Las Palmas	06/2024	Tasa de cobertura de la prestación de desempleo	62.8			
Las Palmas	06/2024	Paro resgistrado con experiencia laboral	78875			
Santa Cruz de Tenerife	06/2024	Personas beneficiarias	44889			
Santa Cruz de Tenerife	06/2024	Tasa de cobertura de la prestación de desempleo	61.8			
Santa Cruz de Tenerife	06/2024	Paro resgistrado con experiencia laboral	72621			
Canary Islands	05/2024	Personas beneficiarias	92931			
Canary Islands	05/2024	Tasa de cobertura de la prestación de desempleo	60.8			
Canary Islands	05/2024	Paro resgistrado con experiencia laboral	152952			
Las Palmas	05/2024	Personas beneficiarias	48712			
Las Palmas	05/2024	Tasa de cobertura de la prestación de desempleo	61.2			
Las Palmas	05/2024	Paro resgistrado con experiencia laboral	79652			
Santa Cruz de Tenerife	05/2024	Personas beneficiarias	44219			
Santa Cruz de Tenerife	05/2024	Tasa de cobertura de la prestación de desempleo	60.3			
Santa Cruz de Tenerife	05/2024	Paro resgistrado con experiencia laboral	73300			
Canary Islands	04/2024	Personas beneficiarias	92830			
Canary Islands	04/2024	Tasa de cobertura de la prestación de desempleo	60.2			
Canary Islands	04/2024	Paro resgistrado con experiencia laboral	154157			
Las Palmas	04/2024	Personas beneficiarias	48527			
Las Palmas	04/2024	Tasa de cobertura de la prestación de desempleo	60.4			
Las Palmas	04/2024	Paro resgistrado con experiencia laboral	80336			
Santa Cruz de Tenerife	04/2024	Personas beneficiarias	44303			
Santa Cruz de Tenerife	04/2024	Tasa de cobertura de la prestación de desempleo	60.0			
Santa Cruz de Tenerife	04/2024	Paro resgistrado con experiencia laboral	73821			
Canary Islands	03/2024	Personas beneficiarias	92767			
Canary Islands	03/2024	Tasa de cobertura de la prestación de desempleo	61.2			
Canary Islands	03/2024	Paro resgistrado con experiencia laboral	151628			
Las Palmas	03/2024	Personas beneficiarias	48165			
Las Palmas	03/2024	Tasa de cobertura de la prestación de desempleo	61.1			
Las Palmas	03/2024	Paro resgistrado con experiencia laboral	78877			
Santa Cruz de Tenerife	03/2024	Personas beneficiarias	44602			
Santa Cruz de Tenerife	03/2024	Tasa de cobertura de la prestación de desempleo	61.3			
Santa Cruz de Tenerife	03/2024	Paro resgistrado con experiencia laboral	72751			
Canary Islands	02/2024	Personas beneficiarias	94210			
Canary Islands	02/2024	Tasa de cobertura de la prestación de desempleo	60.2			
Canary Islands	02/2024	Paro resgistrado con experiencia laboral	156378			
Las Palmas	02/2024	Personas beneficiarias	48663			
Las Palmas	02/2024	Tasa de cobertura de la prestación de desempleo	59.9			
Las Palmas	02/2024	Paro resgistrado con experiencia laboral	81173			
Santa Cruz de Tenerife	02/2024	Personas beneficiarias	45547			
Santa Cruz de Tenerife	02/2024	Tasa de cobertura de la prestación de desempleo	60.6			
Santa Cruz de Tenerife	02/2024	Paro resgistrado con experiencia laboral	75205			
Canary Islands	01/2024	Personas beneficiarias	92583			
Canary Islands	01/2024	Tasa de cobertura de la prestación de desempleo	59.2			
Canary Islands	01/2024	Paro resgistrado con experiencia laboral	156353			
